Method,E_max,E_sum,NMI,Time
MinMax (beta=0),61.5 ± 69.63,156.62 ± 82.58,0.66 ± 0.03,0.04 ± 0.01
MinMax (beta=0) + k-Means,52.36 ± 22.61,142.0 ± 10.69,0.66 ± 0.01,0.04 ± 0.01
MinMax (beta=0.1),61.5 ± 69.63,156.62 ± 82.58,0.66 ± 0.03,0.04 ± 0.01
MinMax (beta=0.1) + k-Means,52.36 ± 22.61,142.0 ± 10.69,0.66 ± 0.01,0.04 ± 0.01
MinMax (beta=0.3),61.5 ± 69.63,156.62 ± 82.58,0.66 ± 0.03,0.04 ± 0.01
MinMax (beta=0.3) + k-Means,52.36 ± 22.61,142.0 ± 10.69,0.66 ± 0.01,0.04 ± 0.01
k-Means,67.87 ± 37.62,148.49 ± 18.94,0.65 ± 0.02,0.0 ± 0.0
k-Means++,65.85 ± 36.16,146.83 ± 17.54,0.65 ± 0.02,0.0 ± 0.0
Agglomerative Clustering,-,-,0.68,0.0
