Method,E_max,E_sum,NMI,Time
MinMax (beta=0),5.3 ± 0.15,15.72 ± 0.1,0.58 ± 0.01,0.67 ± 0.03
MinMax (beta=0) + k-Means,6.29 ± 0.0,15.39 ± 0.0,0.63 ± 0.0,0.67 ± 0.03
MinMax (beta=0.1),5.04 ± 0.24,15.66 ± 0.07,0.57 ± 0.01,0.36 ± 0.28
MinMax (beta=0.1) + k-Means,6.29 ± 0.0,15.39 ± 0.0,0.63 ± 0.0,0.36 ± 0.28
MinMax (beta=0.3),4.8 ± 0.0,15.73 ± 0.0,0.58 ± 0.0,0.07 ± 0.0
MinMax (beta=0.3) + k-Means,6.29 ± 0.0,15.39 ± 0.0,0.63 ± 0.0,0.07 ± 0.0
k-Means,6.63 ± 1.63,15.74 ± 1.02,0.61 ± 0.03,0.0 ± 0.0
k-Means++,6.54 ± 0.56,15.62 ± 0.32,0.62 ± 0.02,0.0 ± 0.0
Agglomerative Clustering,-,-,0.64,0.0
