Method,E_max,E_sum,NMI,Time
MinMax (beta=0),27.38 ± 13.87,130.34 ± 15.47,0.83 ± 0.04,0.96 ± 0.08
MinMax (beta=0) + k-Means,30.16 ± 19.02,128.64 ± 12.21,0.84 ± 0.02,0.96 ± 0.08
MinMax (beta=0.1),19.57 ± 0.21,122.23 ± 0.02,0.85 ± 0.0,0.95 ± 0.01
MinMax (beta=0.1) + k-Means,20.06 ± 0.0,122.15 ± 0.0,0.85 ± 0.0,0.96 ± 0.01
MinMax (beta=0.3),19.96 ± 0.28,122.18 ± 0.03,0.85 ± 0.0,0.96 ± 0.0
MinMax (beta=0.3) + k-Means,20.06 ± 0.0,122.15 ± 0.0,0.85 ± 0.0,0.96 ± 0.0
k-Means,39.44 ± 23.87,138.84 ± 21.86,0.82 ± 0.04,0.0 ± 0.0
k-Means++,31.77 ± 19.87,130.03 ± 13.28,0.83 ± 0.03,0.0 ± 0.0
Agglomerative Clustering,-,-,0.78,0.01
