Method,E_max,E_sum,NMI,Time
MinMax (beta=0),8241.95 ± 1433.02,61331.98 ± 667.0,0.68 ± 0.01,3.38 ± 1.74
MinMax (beta=0) + k-Means,10342.41 ± 3248.32,60787.16 ± 677.73,0.69 ± 0.01,3.4 ± 1.74
MinMax (beta=0.1),14584.02 ± 4193.34,65605.29 ± 2552.07,0.64 ± 0.03,5.38 ± 0.05
MinMax (beta=0.1) + k-Means,10012.22 ± 2804.5,60527.69 ± 770.09,0.7 ± 0.01,5.4 ± 0.05
MinMax (beta=0.3),8848.2 ± 1489.12,61794.43 ± 640.18,0.68 ± 0.02,5.6 ± 0.35
MinMax (beta=0.3) + k-Means,9870.02 ± 2841.94,60500.49 ± 760.52,0.69 ± 0.01,5.62 ± 0.34
k-Means,12015.52 ± 3894.27,61188.36 ± 1607.58,0.69 ± 0.02,0.05 ± 0.02
k-Means++,10582.78 ± 2420.33,60531.72 ± 836.88,0.69 ± 0.02,0.05 ± 0.01
Agglomerative Clustering,-,-,0.77,3.08
